Linear Interpolation 
Point 1: (0 ; 4 )
Point 2: (0.5 ; 3.7 )
Point 3: (1.4 ; 4.5757 )
Point 4: (2.25 ; 4.333 )
Point 5: (3.5 ; 4.167 )
Interpolated points :
( 0 ; 4 )
( 0.0353535 ; 3.97879 )
( 0.0707071 ; 3.95758 )
( 0.106061 ; 3.93636 )
( 0.141414 ; 3.91515 )
( 0.176768 ; 3.89394 )
( 0.212121 ; 3.87273 )
( 0.247475 ; 3.85152 )
( 0.282828 ; 3.8303 )
( 0.318182 ; 3.80909 )
( 0.353535 ; 3.78788 )
( 0.388889 ; 3.76667 )
( 0.424242 ; 3.74545 )
( 0.459596 ; 3.72424 )
( 0.494949 ; 3.70303 )
( 0.530303 ; 3.72948 )
( 0.565657 ; 3.76388 )
( 0.60101 ; 3.79828 )
( 0.636364 ; 3.83268 )
( 0.671717 ; 3.86708 )
( 0.707071 ; 3.90148 )
( 0.742424 ; 3.93588 )
( 0.777778 ; 3.97028 )
( 0.813131 ; 4.00468 )
( 0.848485 ; 4.03908 )
( 0.883838 ; 4.07347 )
( 0.919192 ; 4.10787 )
( 0.954545 ; 4.14227 )
( 0.989899 ; 4.17667 )
( 1.02525 ; 4.21107 )
( 1.06061 ; 4.24547 )
( 1.09596 ; 4.27987 )
( 1.13131 ; 4.31427 )
( 1.16667 ; 4.34867 )
( 1.20202 ; 4.38307 )
( 1.23737 ; 4.41746 )
( 1.27273 ; 4.45186 )
( 1.30808 ; 4.48626 )
( 1.34343 ; 4.52066 )
( 1.37879 ; 4.55506 )
( 1.41414 ; 4.57166 )
( 1.44949 ; 4.56157 )
( 1.48485 ; 4.55147 )
( 1.5202 ; 4.54138 )
( 1.55556 ; 4.53128 )
( 1.59091 ; 4.52119 )
( 1.62626 ; 4.5111 )
( 1.66162 ; 4.501 )
( 1.69697 ; 4.49091 )
( 1.73232 ; 4.48081 )
( 1.76768 ; 4.47072 )
( 1.80303 ; 4.46062 )
( 1.83838 ; 4.45053 )
( 1.87374 ; 4.44043 )
( 1.90909 ; 4.43034 )
( 1.94444 ; 4.42025 )
( 1.9798 ; 4.41015 )
( 2.01515 ; 4.40006 )
( 2.05051 ; 4.38996 )
( 2.08586 ; 4.37987 )
( 2.12121 ; 4.36977 )
( 2.15657 ; 4.35968 )
( 2.19192 ; 4.34958 )
( 2.22727 ; 4.33949 )
( 2.26263 ; 4.33132 )
( 2.29798 ; 4.32663 )
( 2.33333 ; 4.32193 )
( 2.36869 ; 4.31724 )
( 2.40404 ; 4.31254 )
( 2.43939 ; 4.30785 )
( 2.47475 ; 4.30315 )
( 2.5101 ; 4.29846 )
( 2.54545 ; 4.29376 )
( 2.58081 ; 4.28907 )
( 2.61616 ; 4.28437 )
( 2.65152 ; 4.27968 )
( 2.68687 ; 4.27498 )
( 2.72222 ; 4.27029 )
( 2.75758 ; 4.26559 )
( 2.79293 ; 4.2609 )
( 2.82828 ; 4.2562 )
( 2.86364 ; 4.25151 )
( 2.89899 ; 4.24681 )
( 2.93434 ; 4.24212 )
( 2.9697 ; 4.23742 )
( 3.00505 ; 4.23273 )
( 3.0404 ; 4.22803 )
( 3.07576 ; 4.22334 )
( 3.11111 ; 4.21864 )
( 3.14646 ; 4.21395 )
( 3.18182 ; 4.20925 )
( 3.21717 ; 4.20456 )
( 3.25253 ; 4.19986 )
( 3.28788 ; 4.19517 )
( 3.32323 ; 4.19047 )
( 3.35859 ; 4.18578 )
( 3.39394 ; 4.18108 )
( 3.42929 ; 4.17639 )
( 3.46465 ; 4.17169 )
( 3.5 ; 4.167 )
Linear functions: 
f0(x) = 4 + ((3.7 - 4) / ( 0.5 - 0)) * ( x - 0 ) ;
f1(x) = 3.7 + ((4.5757 - 3.7) / ( 1.4 - 0.5)) * ( x - 0.5 ) ;
f2(x) = 4.5757 + ((4.333 - 4.5757) / ( 2.25 - 1.4)) * ( x - 1.4 ) ;
f3(x) = 4.333 + ((4.167 - 4.333) / ( 3.5 - 2.25)) * ( x - 2.25 ) ;

Cubic spline Interpolation 
Point 1: (0 ; 4 )
Point 2: (0.5 ; 3.7 )
Point 3: (1.4 ; 4.5757 )
Point 4: (2.25 ; 4.333 )
Point 5: (3.5 ; 4.167 )
Interpolated points :
( 0 ; 4 )
( 0.0353535 ; 3.96557 )
( 0.0707071 ; 3.93153 )
( 0.106061 ; 3.8983 )
( 0.141414 ; 3.86626 )
( 0.176768 ; 3.83581 )
( 0.212121 ; 3.80735 )
( 0.247475 ; 3.78129 )
( 0.282828 ; 3.75802 )
( 0.318182 ; 3.73793 )
( 0.353535 ; 3.72144 )
( 0.388889 ; 3.70893 )
( 0.424242 ; 3.7008 )
( 0.459596 ; 3.69745 )
( 0.494949 ; 3.69929 )
( 0.530303 ; 3.70663 )
( 0.565657 ; 3.71926 )
( 0.60101 ; 3.73679 )
( 0.636364 ; 3.75883 )
( 0.671717 ; 3.78498 )
( 0.707071 ; 3.81485 )
( 0.742424 ; 3.84804 )
( 0.777778 ; 3.88416 )
( 0.813131 ; 3.9228 )
( 0.848485 ; 3.96358 )
( 0.883838 ; 4.0061 )
( 0.919192 ; 4.04996 )
( 0.954545 ; 4.09477 )
( 0.989899 ; 4.14013 )
( 1.02525 ; 4.18565 )
( 1.06061 ; 4.23093 )
( 1.09596 ; 4.27558 )
( 1.13131 ; 4.31919 )
( 1.16667 ; 4.36139 )
( 1.20202 ; 4.40176 )
( 1.23737 ; 4.43992 )
( 1.27273 ; 4.47546 )
( 1.30808 ; 4.508 )
( 1.34343 ; 4.53714 )
( 1.37879 ; 4.56248 )
( 1.41414 ; 4.58364 )
( 1.44949 ; 4.60048 )
( 1.48485 ; 4.61321 )
( 1.5202 ; 4.62208 )
( 1.55556 ; 4.62731 )
( 1.59091 ; 4.62913 )
( 1.62626 ; 4.62778 )
( 1.66162 ; 4.62349 )
( 1.69697 ; 4.61649 )
( 1.73232 ; 4.60702 )
( 1.76768 ; 4.59531 )
( 1.80303 ; 4.58159 )
( 1.83838 ; 4.5661 )
( 1.87374 ; 4.54906 )
( 1.90909 ; 4.53072 )
( 1.94444 ; 4.51129 )
( 1.9798 ; 4.49103 )
( 2.01515 ; 4.47015 )
( 2.05051 ; 4.4489 )
( 2.08586 ; 4.4275 )
( 2.12121 ; 4.40619 )
( 2.15657 ; 4.38519 )
( 2.19192 ; 4.36476 )
( 2.22727 ; 4.34511 )
( 2.26263 ; 4.32648 )
( 2.29798 ; 4.30899 )
( 2.33333 ; 4.29263 )
( 2.36869 ; 4.27736 )
( 2.40404 ; 4.26314 )
( 2.43939 ; 4.24996 )
( 2.47475 ; 4.23776 )
( 2.5101 ; 4.22652 )
( 2.54545 ; 4.21621 )
( 2.58081 ; 4.20679 )
( 2.61616 ; 4.19824 )
( 2.65152 ; 4.19051 )
( 2.68687 ; 4.18357 )
( 2.72222 ; 4.17739 )
( 2.75758 ; 4.17194 )
( 2.79293 ; 4.16719 )
( 2.82828 ; 4.16309 )
( 2.86364 ; 4.15963 )
( 2.89899 ; 4.15676 )
( 2.93434 ; 4.15445 )
( 2.9697 ; 4.15267 )
( 3.00505 ; 4.15139 )
( 3.0404 ; 4.15057 )
( 3.07576 ; 4.15018 )
( 3.11111 ; 4.15019 )
( 3.14646 ; 4.15056 )
( 3.18182 ; 4.15126 )
